brand,model,model_year,milage,fuel_type,transmission,ext_col,int_col,accident,clean_title,price,horsepower,engine_capacity,cylinders
BMW,M4 CS,2019,19069,Gasoline,Automatic,Alpine White,Anthracite,0,0,69998,335.0,3.0,6.0
Cadillac,CT5 Premium Luxury,2023,6090,Gasoline,A/T,White,Beige,0,1,46900,237.0,2.0,4.0
Lucid,Air Grand Touring,2022,4900,Electric,1-Speed A/T,Red,Black,0,1,99000,536.0,0.0,0.0
Audi,A5 2.0T Premium Plus,2019,47523,Gasoline,Transmission w/Dual Shift Mode,Black,Black,0,1,31000,248.0,2.0,4.0
Chrysler,300C SRT8,2006,43000,Gasoline,5-Speed A/T,Silver,Black,1,1,19995,425.0,6.1,8.0
Bentley,Continental GT W12,2017,14684,Gasoline,8-Speed A/T,White,White,0,1,130000,582.0,6.0,12.0
BMW,M4 Base,2019,57800,Gasoline,Transmission w/Dual Shift Mode,Black,Red,0,1,55999,425.0,3.0,6.0
Toyota,GR Corolla Circuit Edition,2023,952,Gasoline,6-Speed M/T,Silver,Gray,0,1,49950,300.0,1.6,3.0
Audi,RS 5 2.9T,2019,21240,Gasoline,8-Speed A/T,Black,Black,1,1,59950,444.0,2.9,6.0
Porsche,Cayenne Base,2019,59338,Gasoline,Transmission w/Dual Shift Mode,Black,Black,0,1,42499,335.0,3.0,6.0
Lamborghini,Huracan Tecnica Coupe,2023,255,Gasoline,Automatic,BLU ELEOS,Nero Ade,0,0,359991,571.0,5.2,10.0
Maserati,Quattroporte S,2019,23230,Gasoline,8-Speed A/T,Black,Black,0,1,44999,424.0,3.0,6.0
Jaguar,XF 35t R-Sport,2017,48000,Gasoline,A/T,Red,Black,1,1,30000,340.0,3.0,6.0
Lexus,ES 330 Base,2005,41059,Gasoline,5-Speed A/T,White,Beige,0,1,11100,225.0,3.3,6.0
Land,Rover Discovery Sport SE R-Dynamic,2020,21240,Gasoline,Automatic,White,Black,0,0,37998,380.0,2.0,8.0
Porsche,Cayman GTS,2015,11500,Gasoline,7-Speed A/T,Silver,Unknown,0,1,72000,340.0,3.4,6.0
Genesis,G90 3.3T Premium,2021,9950,Gasoline,8-Speed A/T,Silver,Blue,0,1,53950,365.0,3.3,6.0
Volkswagen,Golf R 20th Anniversary Edition,2023,633,Gasoline,6-Speed M/T,White,Black,0,1,47999,315.0,2.0,4.0
Hyundai,Sonata Hybrid Limited,2015,66000,Hybrid,A/T,White,Gray,1,1,15900,199.0,2.4,4.0
Audi,RS 7 4.0T Prestige,2014,59715,Gasoline,A/T,Gray,Black,1,1,45000,560.0,4.0,8.0
BMW,740 Li,2012,85252,Gasoline,6-Speed A/T,Black,Black,0,1,18500,326.0,3.0,6.0
Mercedes-Benz,GLS 450 Base 4MATIC,2020,17900,Hybrid,9-Speed A/T,Black,Black,1,1,80000,362.0,3.0,6.0
BMW,M6 Base,2016,25500,Gasoline,7-Speed A/T,White,Black,0,1,55000,560.0,4.4,8.0
Subaru,Forester 2.5 X,2004,210703,Gasoline,M/T,Green,Beige,0,0,2300,165.0,2.5,4.0
Hyundai,Elantra N Base,2023,3800,Gasoline,6-Speed M/T,White,Black,0,1,34000,276.0,2.0,4.0
Kia,Niro Plug-In Hybrid EX Premium,2022,36602,Hybrid,6-Speed Automatic with Auto-Shift,Horizon Blue,Charcoal,0,1,31995,199.0,1.6,4.0
Rivian,R1S Adventure Package,2023,2800,Electric,1-Speed A/T,White,Green,0,1,92000,835.0,0.0,0.0
Aston,Martin DBS Superleggera,2021,2165,Gasoline,8-Speed Automatic,Black,Black,0,1,279950,420.0,5.2,12.0
Mercedes-Benz,SLC 300 Base,2018,33000,Gasoline,9-Speed A/T,Red,Black,1,1,29900,241.0,2.0,4.0
BMW,435 Gran Coupe i,2016,76009,Gasoline,8-Speed A/T,White,Beige,0,1,24950,300.0,3.0,6.0
Jeep,Grand Cherokee Summit,2020,31349,Gasoline,8-Speed Automatic,Granite Crystal Clearcoat Metallic,Black,0,0,39366,285.0,5.7,8.0
Lexus,RC 350 Base,2015,48000,Gasoline,Transmission w/Dual Shift Mode,Orange,Red,0,1,32900,306.0,3.5,6.0
BMW,525 i,2005,91420,Gasoline,6-Speed A/T,Black,Black,0,1,8900,215.0,2.5,6.0
Toyota,Corolla LE,2003,124756,Gasoline,M/T,Beige,Beige,1,1,4995,130.0,1.8,4.0
Cadillac,CT5-V Blackwing,2023,2415,Gasoline,10-Speed Automatic,Rift Metallic,Gray,0,0,104900,400.0,6.2,8.0
GMC,Acadia SLT-1,2012,116226,Gasoline,6-Speed A/T,Black,Black,0,1,7900,288.0,3.6,6.0
Lexus,LC 500 Base,2020,37869,Gasoline,10-Speed Automatic,Atomic Silver,Rioja Red,0,0,75950,301.0,5.0,8.0
BMW,i8 Base,2019,41500,Plug-In Hybrid,Transmission w/Dual Shift Mode,White,Black,0,1,86000,369.0,1.5,3.0
Lexus,ES 300h Base,2013,87001,Hybrid,CVT Transmission,Gold,Beige,0,1,17995,200.0,2.5,4.0
Cadillac,CT5-V V-Series,2022,4451,Gasoline,Automatic,Summit White,Jet Black,1,1,55655,400.0,3.0,6.0
BMW,540 i xDrive,2020,27158,Gasoline,Automatic,Imperial Blue Metallic,Canberra Beige/Black,0,0,39998,335.0,2.0,6.0
Chevrolet,Express 1500 Work Van,2014,139804,Gasoline,A/T,White,Gray,1,1,14500,195.0,4.3,6.0
Jeep,Gladiator Rubicon,2022,27300,Gasoline,A/T,Green,Black,0,1,47500,285.0,3.6,6.0
BMW,Z4 sDrive28i,2014,36812,Gasoline,Transmission w/Dual Shift Mode,White,Beige,0,1,27000,240.0,2.0,4.0
Land,Rover LR4 HSE LUX Landmark Edition,2016,144000,Gasoline,8-Speed A/T,Black,Black,1,1,18000,340.0,3.0,6.0
Cadillac,XT4 Sport,2019,44500,Gasoline,9-Speed A/T,Blue,White,0,1,28900,237.0,2.0,4.0
BMW,750 750i xDrive,2021,10917,Gasoline,Automatic,Black,Black,0,0,73998,335.0,4.4,6.0
Bentley,Arnage R,2005,8332,Gasoline,4-Speed A/T,White,Beige,0,1,47350,400.0,6.75,8.0
Lincoln,Aviator Reserve AWD,2020,51247,Gasoline,Automatic,Magnetic Gray Clearcoat,Roast,0,0,47698,304.0,3.0,6.0
Mercedes-Benz,AMG GL AMG GL 63 4MATIC,2016,69000,Gasoline,Transmission w/Dual Shift Mode,Black,Brown,0,1,36500,550.0,5.5,8.0
RAM,ProMaster 3500 High Roof,2021,147834,Gasoline,6-Speed Automatic,Bright White Clearcoat,Black,0,1,32662,395.0,3.6,6.0
Ford,Utility Police Interceptor Base,2013,105000,E85 Flex Fuel,A/T,White,Black,1,1,6600,300.0,3.7,6.0
Audi,A5 2.0T Premium,2011,92203,Gasoline,Transmission w/Dual Shift Mode,Red,Beige,0,1,9995,211.0,2.0,4.0
Nissan,GT-R Premium,2010,15600,Gasoline,Transmission w/Dual Shift Mode,White,Black,0,1,69500,485.0,3.8,6.0
Land,Rover Range Rover Sport 3.0L Supercharged HSE,2018,104700,Gasoline,Automatic,Fuji White,Ivory / Ebony,1,0,30775,380.0,3.0,6.0
Toyota,Corolla LE,2010,72348,Gasoline,A/T,Red,Gray,1,1,9995,132.0,1.8,4.0
Rivian,R1S Adventure Package,2023,2500,Electric,A/T,Green,White,0,1,94000,835.0,0.0,0.0
Mercedes-Benz,C-Class C300 4MATIC,2022,13177,Gasoline,Automatic,White,Silk Beige/Black,0,0,44798,362.0,2.0,8.0
Porsche,Cayenne E-Hybrid S,2016,96000,Plug-In Hybrid,Transmission w/Dual Shift Mode,White,Red,1,1,23000,416.0,3.0,6.0
Chevrolet,Express 1500 Work Van,2011,93009,E85 Flex Fuel,4-Speed Automatic,Summit White,Medium Pewter,0,1,22495,355.0,5.3,8.0
INFINITI,Q70h Base,2016,52750,Hybrid,7-Speed A/T,White,Black,1,1,28998,360.0,3.5,6.0
Audi,A7 Premium Plus,2020,25361,Hybrid,Automatic,Typhoon Gray,Black,0,0,49998,333.0,3.0,6.0
Audi,Q7 3.0T Premium Plus,2015,98527,Gasoline,8-Speed A/T,Black,Black,0,0,9995,280.0,3.0,6.0
Lucid,Air Pure,2023,1300,Electric,A/T,Black,Gray,0,0,86900,620.0,0.0,0.0
Audi,TTS 2.0T Premium Plus,2012,72922,Gasoline,6-Speed A/T,White,Black,0,0,25999,265.0,2.0,4.0
BMW,650 Gran Coupe i xDrive,2015,41000,Gasoline,8-Speed A/T,Black,Black,0,1,30000,445.0,4.4,8.0
Subaru,Forester Premium,2021,42125,Gasoline,Automatic CVT,Crystal Black Silica,Black,0,1,27899,227.0,2.5,4.0
Mercedes-Benz,AMG C AMG C 63,2016,62000,Gasoline,Transmission w/Dual Shift Mode,Black,Black,0,1,40000,469.0,4.0,8.0
Land,Rover LR3 HSE,2006,153843,Gasoline,6-Speed A/T,Red,Beige,1,1,9950,300.0,4.4,8.0
BMW,X7 xDrive40i,2019,35248,Gasoline,Automatic,Arctic Gray Metallic,Black,0,0,53998,335.0,3.0,6.0
Ford,Transit Connect XLT,2015,194454,Gasoline,6-Speed A/T,White,Black,0,1,9888,169.0,2.5,4.0
Lexus,LX 570 Three-Row,2021,21000,Gasoline,Transmission w/Dual Shift Mode,White,Black,0,1,89999,383.0,5.7,8.0
Porsche,911 Carrera S,2013,18494,Gasoline,7-Speed M/T,Black,Black,0,0,86900,400.0,3.8,6.0
Dodge,Ram 2500 Laramie Quad Cab,2006,218000,Gasoline,4-Speed A/T,Red,Gray,0,1,12990,330.0,5.7,8.0
Nissan,Armada SL,2021,67800,Gasoline,7-Speed A/T,Silver,Black,1,1,36500,400.0,5.6,8.0
Porsche,Cayman Base,2014,79000,Gasoline,Transmission w/Dual Shift Mode,Red,Black,1,1,42999,275.0,2.7,6.0
Mercedes-Benz,GLE 450 GLE 450,2022,24906,Hybrid,Automatic,Selenite Grey Metallic,Black,0,0,63998,362.0,3.0,8.0
Chevrolet,Monte Carlo SS,2006,66840,Gasoline,A/T,White,Gray,1,1,12000,303.0,5.3,8.0
BMW,M5 Base,2013,86000,Gasoline,Transmission w/Dual Shift Mode,Blue,White,0,1,32000,560.0,4.4,8.0
Hyundai,Kona N Base,2023,654,Gasoline,8-Speed Automatic with Auto-Shift,Ultra Black,Black,0,1,34599,240.0,2.0,4.0
Chevrolet,Monte Carlo SS,2005,75000,Gasoline,A/T,Black,Black,0,1,12500,240.0,3.8,6.0
Land,Rover Range Rover Evoque Pure,2015,84000,Gasoline,9-Speed A/T,Beige,Black,1,1,22800,240.0,2.0,4.0
Audi,S7 4.0T Premium Plus,2017,52500,Gasoline,Transmission w/Dual Shift Mode,Gray,Gray,0,1,39999,450.0,4.0,8.0
GMC,Acadia SLT-1,2011,120000,Gasoline,6-Speed A/T,Silver,Gray,0,1,7500,288.0,3.6,6.0
Alfa,Romeo Stelvio Ti Sport,2020,18665,Gasoline,8-Speed Automatic,Lunare White Metallic,Ice,0,1,35645,280.0,2.0,4.0
Ferrari,FF Base,2016,19987,Gasoline,7-Speed A/T,Black,Brown,0,1,149900,651.0,6.3,12.0
Kia,K900 5.0L,2017,36486,Gasoline,8-Speed A/T,Black,Beige,1,1,23950,420.0,5.0,8.0
Ford,E150 XLT,2013,162100,E85 Flex Fuel,4-Speed A/T,Black,Gray,0,1,12500,255.0,5.4,8.0
Tesla,Model 3 Performance,2022,13079,Electric,A/T,Black,White,0,1,47000,455.0,0.0,0.0
Toyota,4Runner SR5,2022,28377,Gasoline,5-Speed Automatic,Silver,Gray,0,0,36999,268.0,4.0,6.0
Subaru,Forester Base,2020,32744,Gasoline,CVT Transmission,Black,Gray,0,1,24000,182.0,2.5,4.0
Porsche,Panamera 2,2012,54000,Gasoline,A/T,White,Unknown,1,1,26000,300.0,3.6,6.0
Toyota,Tacoma PreRunner,2008,202055,Gasoline,A/T,Silver,Gray,1,1,8500,236.0,4.0,6.0
RAM,2500 Laramie,2019,65000,Diesel,6-Speed A/T,Black,Black,0,1,65000,370.0,6.7,6.0
Kia,Sportage Nightfall,2022,9686,Gasoline,6-Speed Automatic,Hyper Red,Black,0,1,30990,199.0,2.4,4.0
Cadillac,DTS Base,2010,49620,Gasoline,A/T,White,Gray,0,1,10499,275.0,4.6,8.0
Toyota,Land Cruiser Base,1997,213000,Gasoline,4-Speed A/T,White,Beige,0,1,26500,212.0,4.5,6.0
Nissan,GT-R Premium,2020,16010,Gasoline,A/T,White,Black,0,1,114000,565.0,3.8,6.0
Lexus,NX 350 F SPORT Handling,2023,820,Gasoline,8-SPEED AT,Black,Black,0,0,51998,301.0,2.4,6.0
Audi,Q7 45 Premium Plus,2021,68000,Gasoline,8-Speed A/T,Blue,Black,0,1,36499,248.0,2.0,4.0
Lexus,LX 470 Base,1999,82000,Gasoline,A/T,White,Beige,0,1,25000,230.0,4.7,8.0
GMC,Terrain SLE,2022,27352,Gasoline,9-Speed Automatic,Summit White,Jet Black,0,0,27785,355.0,1.5,4.0
Ford,Escape Limited,2012,129000,Gasoline,A/T,White,Gray,1,1,7000,171.0,2.5,4.0
Lexus,LS 460 L,2014,106731,Gasoline,8-Speed A/T,White,Beige,1,1,30000,360.0,4.6,8.0
Ford,Expedition Platinum,2019,34672,Gasoline,10-Speed A/T,White,White,0,1,45500,400.0,3.5,6.0
Chevrolet,Malibu LTZ,2010,55900,Gasoline,Transmission w/Dual Shift Mode,Beige,Beige,0,1,8950,252.0,3.6,6.0
Audi,RS 7 4.0T quattro,2023,3158,Gasoline,1-Speed Automatic,Daytona Gray Pearl Effect,Black / Express Red,0,0,128900,333.0,4.0,8.0
Audi,A5 2.0T Premium Plus,2015,82000,Gasoline,8-Speed A/T,White,Brown,0,1,17000,220.0,2.0,4.0
Genesis,G70 2.0T,2023,4785,Gasoline,Automatic,Vik Black,Obsidian Black,0,1,42850,365.0,2.0,4.0
Chevrolet,Trailblazer LS,2021,20497,Gasoline,9-Speed Automatic,Pacific Blue Metallic,Black,0,0,22999,355.0,1.3,3.0
Scion,tC Base,2013,177600,Gasoline,6-Speed A/T,Silver,Black,1,1,7100,180.0,2.5,4.0
Lincoln,MKZ Hybrid Base,2014,78568,Hybrid,A/T,Blue,Beige,0,1,15500,188.0,2.0,4.0
Ford,Transit-350 XL,2018,95000,E85 Flex Fuel,A/T,White,Gray,0,1,43000,275.0,3.7,6.0
Porsche,911 GT2 RS,2018,4529,Gasoline,7-Speed Automatic with Auto-Shift,Black,Black,0,1,417500,365.0,3.8,6.0
Ford,Explorer Timberline,2021,25240,Gasoline,10-Speed Automatic,Gray,Ebony,1,0,39951,325.0,2.3,4.0
Volvo,XC90 3.2,2011,88300,Gasoline,A/T,Blue,Beige,1,1,11500,235.0,3.2,6.0
Chevrolet,Avalanche LTZ,2013,98000,E85 Flex Fuel,6-Speed A/T,Silver,Black,1,1,27499,320.0,5.3,8.0
Audi,TT RS 2.5T,2018,20675,Gasoline,Transmission w/Dual Shift Mode,Gray,Gray,0,1,76000,400.0,2.5,5.0
Lincoln,Navigator L,2008,95000,Gasoline,A/T,Black,Black,0,1,10900,300.0,5.4,8.0
Hyundai,Elantra GLS,2010,107000,Gasoline,4-Speed A/T,Blue,Blue,1,1,6250,138.0,2.0,4.0
Audi,SQ5 3.0T Premium Plus,2016,60000,Gasoline,Transmission w/Dual Shift Mode,Black,Black,1,1,24700,354.0,3.0,6.0
Mitsubishi,Lancer Evolution GSR,2012,33000,Gasoline,5-Speed M/T,Black,Black,0,1,34999,291.0,2.0,4.0
Tesla,Model Y Performance,2023,500,Electric,1-Speed A/T,Black,White,0,1,60000,455.0,0.0,0.0
Mercedes-Benz,Maybach S S 600,2016,108500,Gasoline,7-Speed A/T,White,Beige,0,1,63500,523.0,6.0,12.0
Nissan,GT-R Premium,2017,37800,Gasoline,Transmission w/Dual Shift Mode,Orange,Orange,0,1,149500,565.0,3.8,6.0
Mercedes-Benz,GLS 550 Base 4MATIC,2018,74422,Gasoline,Automatic,Obsidian Black Metallic,Gray,0,0,44798,362.0,4.7,8.0
Chevrolet,Blazer Premier,2019,55621,Gasoline,9-Speed Automatic,Silver Ice Metallic,Jet Black,0,0,34562,355.0,3.6,6.0
Mazda,CX-9 Grand Touring,2021,46707,Gasoline,6-Speed Automatic,Sonic Silver Metallic,Black,1,1,32541,184.0,2.5,4.0
Ford,Expedition Max Limited,2022,26500,Gasoline,A/T,White,Beige,0,1,65900,440.0,3.5,6.0
Nissan,Titan XD SV,2020,10001,Gasoline,9-Speed Automatic,Black,Black,0,1,47214,284.0,5.6,8.0
Lexus,LX 570 Three-Row,2019,19050,Gasoline,8-Speed A/T,Black,Beige,0,1,76900,383.0,5.7,8.0
Chevrolet,Traverse Premier,2020,52000,Gasoline,A/T,White,Black,0,1,35800,310.0,3.6,6.0
Mercedes-Benz,Sprinter High Roof,2014,65000,Diesel,7-Speed A/T,Black,Black,1,1,54999,188.0,3.0,6.0
BMW,X5 3.0i,2004,140000,Gasoline,Transmission w/Dual Shift Mode,Black,Beige,0,1,6730,225.0,3.0,6.0
Ford,Fusion SE,2018,75600,Gasoline,A/T,Blue,Black,1,1,14950,181.0,1.5,4.0
Lincoln,MKZ Base,2015,117292,Gasoline,A/T,Beige,Beige,0,1,12000,240.0,2.0,4.0
Ford,GT,2005,1897,Gasoline,Manual,White,Unknown,0,0,429998,325.0,5.4,6.0
Genesis,G90 5.0 Ultimate,2017,26000,Gasoline,Transmission w/Dual Shift Mode,White,Beige,0,1,33600,420.0,5.0,8.0
Lexus,LC 500 Base,2022,2071,Gasoline,Automatic,Nightfall Mica,Caramel,0,0,99950,301.0,5.0,8.0
Ford,Shelby GT500 Base,2014,15629,Gasoline,6-Speed Manual,Black,Black,0,0,61900,325.0,5.8,8.0
Saturn,Sky Base,2008,15020,Gasoline,A/T,Silver,Red,0,1,18500,173.0,2.4,4.0
Audi,RS Q8 4.0T quattro,2022,11322,Gasoline,8-Speed Automatic,Daytona Gray Pearl Effect,Black / Express Red,0,0,119900,333.0,4.0,8.0
Toyota,Land Cruiser,2016,50361,Gasoline,Automatic,Silver,Black,0,0,65998,268.0,5.7,6.0
Mercedes-Benz,SL-Class SL 550,2013,115000,Gasoline,Transmission w/Dual Shift Mode,Black,Black,1,1,36000,429.0,4.6,8.0
Porsche,911 Carrera C2S,2005,28500,Gasoline,6-Speed M/T,Silver,Black,0,1,63500,355.0,3.8,6.0
Mercedes-Benz,AMG GLA 45 Base 4MATIC,2018,51700,Gasoline,Transmission w/Dual Shift Mode,White,Black,0,1,32000,375.0,2.0,4.0
Ford,Taurus X Limited,2008,148949,Gasoline,A/T,Blue,Beige,0,1,3900,263.0,3.5,6.0
BMW,440 Gran Coupe i,2018,39300,Gasoline,8-Speed A/T,White,Beige,1,1,31750,320.0,3.0,6.0
Honda,S2000 CR,2008,82323,Gasoline,6-Speed M/T,Black,Black,0,1,28500,237.0,2.2,4.0
Acura,Integra w/A-Spec Tech Package,2023,3574,Gasoline,Variable,Apex Blue,Orchid,0,0,34998,279.5,1.5,6.0
Ford,Excursion Limited,2001,109357,Gasoline,A/T,Green,Beige,0,1,12749,310.0,6.8,10.0
Mercedes-Benz,SL-Class SL500 Roadster,2004,46000,Gasoline,A/T,White,Gray,0,1,18853,302.0,5.0,8.0
Mercedes-Benz,CLS-Class CLS 550,2007,123112,Gasoline,A/T,Silver,Black,1,1,104999,382.0,5.5,8.0
